#,Name,Dominion,Class,Role,Role Details,ID,Effect Name 1,Effect Type 1,Effect Details 1,Effect Name 2,Effect Type 2,Effect Details 2,Keywords,Ether,Prowess,Fortitude,Artwork,#Artwork Config,Flavour,Lore,Name Inspiration,Art Direction,Mechanic(s)
0184,Apertures of Mirimara,Veritian,SPECIAL ACTION,SIGNATURE,Patience Wick,06VER-06SIG-0184,,,"An ally performs the following *free action*:
Summon a ""Rift"" within RANGE(3) of this character.
Each ""Rift"" is a *catalyst* that a character may trigger to move to any other ""Rift"" to continue their movement. This effect persists until the last ""Rift"" is removed.",,,,RESERVE(2),6,,,,".png,50,0,100",,,,,"#Catalyst, #Bonus Movement, ~Fold"
0185,The Abscission of Form,Veritian,SPECIAL ACTION,SIGNATURE,Clement Tacitus,06VER-06SIG-0185,,,"If any ally has **ADVANTAGE** when they perform an *attack*, they gain **LETHAL(1d2)**. This effect persists until your next epilogue.",,,,,8,,,,".png,50,0,100",,,,,"#LETHAL, #ADVANTAGE-ATK"
0186,Apotheosis,Veritian,SPECIAL ACTION,,,06VER-07SPA-0186,,,**HEAL(2d2)** all allies.,,,,,8,,,,".png,50,0,100",,,,,#HEAL
0187,Incipient Fracture,Veritian,SPECIAL ACTION,,,06VER-07SPA-0187,,,An ally gains **FORCE({M3/Icons/Dice/TRIANGLE.png})** until your next epilogue.,,,,,6,,,,".png,50,0,100",,,,,#FORCE
0188,Drift,Veritian,SPECIAL ACTION,,,06VER-07SPA-0188,,,An ally may *manoeuvre* through allies and enemies but must end a *manoeuvre* on an available space. This ally counts as if their *emergence* was this activation.,,,,,5,,,,".png,30,0,100",,,,,"#SLIGHT, #Nimble"
0189,Stasis Lock,Veritian,SPECIAL ACTION,,,06VER-07SPA-0189,,,"An ally performs the following *free action*:
Summon a *dial* on an available space within **RANGE(3)** of this character.
Each *dial* is a *hazard* that causes enemies to become **STUNNED ** until after their next activation. Each *dial* is removed after triggering. This effect persists until the last *dial* is removed.",,,,RESERVE(2),4,,,,".png,50,0,100","A moment frozen, is a moment preserved.",,,,"#Hazard, #STUNNED, ~Dial"
0190,Pertinent Rewind,Veritian,SPECIAL ACTION,,,06VER-07SPA-0190,,,An ally gains **REINFORCE({M3/Icons/Dice/TRIANGLE.png})** until your next prologue.,,,,,6,,,,".png,50,0,100",,,,,#REINFORCE
0191,Chronatic Snipe,Veritian,SPECIAL ACTION,,,06VER-07SPA-0191,,,An ally gains **PATH(5)** on their next *attack*.,,,,,6,,,,".png,50,0,100",,,,,#PATH
0192,Breach,Veritian,SPECIAL ACTION,,,06VER-07SPA-0192,,,"If an ally has **ADVANTAGE**, when they perform an *attack*, they gain **LETHAL(2d2)**. This effect persists until your next epilogue.",,,,RESERVE(2),4,,,,".png,50,0,100",,,,,"#LETHAL, #ADVANTAGE-ATK"
0193,Warp,Veritian,SPECIAL ACTION,,,06VER-07SPA-0193,,,An ally will **PUSH(4d{M3/Icons/Dice/NULL.png})** enemies on their next *attack*. This movement immediately disengages combat.,,,,,4,,,,".png,50,0,100",,,,,"#P-AWAY, #P-CLOSE"
0194,Punctual Arrival,Veritian,SPECIAL ACTION,,,06VER-07SPA-0194,,,"If any character performs an *emergence* during their activation, they gain **LETHAL(1d2)**. This effect persists until your next epilogue.",,,,,6,,,,".png,50,0,100",,,,,#LETHAL
0195,Displacement,Veritian,SPECIAL ACTION,,,06VER-07SPA-0195,,,"An ally becomes ""Phased"" and they summon a ""Rift"" on their space.
Each ""Rift"" is a *totem*. During your epilogue, any ally may cease to be ""Phased"" to move to any ""Rift"". This character counts as if their *emergence* was this activation. This effect persists until the end of you epilogue.",,,,,6,,,,".png,50,0,100",,,,,#Extra Manoeuvre
0196,Follow Through,Veritian,SPECIAL ACTION,,,06VER-07SPA-0196,,,"When any ally defeats an enemy, they may perform any *exertion* an additional time as a *free action* until your next epilogue. This effect persists until your epilogue.",,,,,5,,,,".png,50,0,100",,,,,#Extra Action
0197,Flashpoint,Veritian,SPECIAL ACTION,,,06VER-07SPA-0197,,,All enemies within **BLAST(1)** of an ally suffer an **IMPACT(3)**.,,,,,6,,,,".png,50,0,100",,,,,"#BLAST, #IMPACT"
0198,Veros' Breath,Veritian,SPECIAL ACTION,,,06VER-07SPA-0198,,,"An ally summons a *dial* on an available space within **RANGE(5)**.
Each *dial* is a *totem*. Whilst within **AURA(2)** of a *dial*, all enemies suffer **SLOWED** until after their next activation. This effect persists until your next prologue.",,,,,5,,,,".png,50,0,100",,,,,#SLOWED
0199,Snap,Veritian,SPECIAL ACTION,,,06VER-07SPA-0199,,,"After an ally's *emergence*, they gain **FORCE({M3/Icons/Dice/TRIANGLE.png})** until your next epilogue.",,,,RESERVE(2),4,,,,".png,50,0,100",,,,,#FORCE
0200,Chronatic Projection,Veritian,SPECIAL ACTION,,,06VER-07SPA-0200,,,"An ally that has already performed an *attack* this activation may performs the following *free* *attack*:
This character performs an *attack* with **PIERCE(3)** against an enemy this character already performed an *attack* against this activation.",,,,,5,,,,".png,50,0,100",,,,,"#Extra Attack, #PIERCE"
